Variable:,pr
,"United States",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,"District of Columbia",Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode Island","South Carolina","South Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West Virginia",Wisconsin,Wyoming
1933,645.33,1194.84,484.33,287.88,1231.97,474.06,377.85,1223.83,1233.05,1149.03,1451.60,1076.84,1520.17,441.02,896.28,1027.26,622.51,544.19,1291.49,1339.44,1115.30,1224.51,1211.51,743.67,529.10,1289.62,930.71,392.73,497.77,187.33,1139.72,1284.28,320.54,942.56,967.05,349.71,974.94,767.95,713.99,1110.15,1252.52,950.65,367.64,1284.42,563.28,247.08,1010.52,1003.46,1195.74,1247.31,676.88,298.29
1934,617.62,1394.74,525.48,245.93,1064.55,446.51,292.82,1217.52,1222.79,1082.24,1387.31,1194.25,1890.78,390.83,833.83,761.59,681.97,488.66,976.70,1436.86,1039.29,1163.52,1111.13,658.02,523.68,1357.10,867.47,293.35,366.29,204.11,1036.89,1134.62,234.12,875.32,1306.63,253.56,685.73,686.91,684.98,965.02,1096.20,1133.24,306.57,1170.02,553.20,223.73,939.03,1147.13,1033.53,1018.50,756.57,254.50
1935,702.41,1228.58,565.14,341.85,1388.62,541.81,392.06,923.64,1298.78,1141.56,1381.23,1132.33,1946.03,319.83,1059.32,1002.86,837.76,672.08,1417.04,1383.10,996.50,1209.79,977.84,710.82,671.91,1300.02,1190.44,297.31,550.49,228.84,1013.46,1084.79,367.65,958.25,1164.60,468.41,1035.75,939.82,528.11,1015.10,1005.56,1106.59,433.34,1289.76,820.91,258.06,994.22,1199.81,778.93,1351.32,790.61,303.46
1936,654.70,1416.45,574.38,328.11,852.22,611.82,392.82,1326.36,1206.05,1005.07,1492.77,1445.39,2368.68,432.04,755.77,856.88,643.38,461.43,997.50,1094.07,1268.73,1115.25,1318.84,687.50,479.52,1119.81,736.63,295.40,364.77,282.50,1238.03,1211.76,323.03,1019.01,1517.51,229.44,877.75,567.73,617.20,1076.68,1379.30,1428.63,283.64,1208.19,643.30,376.42,1179.92,1134.63,900.35,1122.99,638.61,324.53
1937,709.63,1444.22,517.61,286.75,1269.90,689.10,372.65,1320.80,1291.55,1349.35,1530.81,1349.86,2588.43,499.58,921.30,1084.87,702.75,516.11,1164.72,1378.61,1124.17,1332.19,1241.44,772.77,662.05,1367.14,939.20,343.85,441.85,247.64,1217.68,1201.36,331.14,1111.16,1287.76,452.43,1076.01,732.74,913.24,1183.24,1234.32,1275.91,414.35,1334.70,601.57,334.42,1137.46,1316.17,1221.37,1251.72,698.49,362.84
1938,703.02,1195.58,566.89,286.43,1226.13,686.50,474.64,1374.01,1214.71,895.96,1152.65,1052.72,2314.56,488.28,1029.82,1031.12,932.99,663.65,1151.27,1270.58,1185.88,1044.09,1333.62,828.05,689.59,1228.53,1049.14,429.84,566.01,298.71,1235.39,1264.76,342.79,1045.71,1192.41,413.09,994.57,835.55,713.24,1011.83,1331.97,1030.42,440.70,1240.39,598.68,338.09,1145.33,1049.14,833.63,1120.71,1019.66,365.80
1939,639.83,1417.71,587.20,258.59,1243.48,388.12,291.08,1079.73,1230.03,1037.72,1367.19,1243.43,2299.73,323.79,911.33,1000.75,631.87,506.72,1223.28,1259.82,1001.84,1115.91,998.20,761.37,543.28,1399.14,953.50,331.18,421.24,219.47,971.68,1115.98,307.31,879.95,1265.90,376.68,969.35,671.47,544.01,959.17,1094.93,1167.41,393.55,1295.12,554.42,250.79,975.49,1059.08,855.56,1113.26,656.09,256.63
1940,714.37,1387.85,533.52,377.36,1163.49,839.83,430.78,1178.33,1083.35,1046.04,1331.44,1173.10,1832.98,561.42,745.18,849.58,766.98,624.28,1049.06,1724.21,1074.69,1099.38,1130.80,826.62,653.13,1496.03,841.29,397.28,447.34,289.29,1094.78,1175.81,351.21,1025.99,1068.98,446.84,979.98,878.11,826.32,1105.07,1171.31,1055.73,386.99,1113.20,749.15,345.94,1054.78,1119.02,1040.57,1162.65,825.41,345.90
1941,755.45,1160.29,501.29,485.82,1164.10,896.21,579.08,911.03,882.47,801.06,1509.03,1087.05,1787.24,547.88,986.58,838.19,903.65,888.29,912.59,1472.97,847.30,859.41,829.44,792.68,748.18,1172.55,1091.32,458.60,629.32,373.23,802.37,926.41,603.53,809.27,992.65,572.25,806.53,1136.56,806.50,848.92,871.96,1132.93,536.03,921.92,985.91,473.28,809.71,804.52,977.34,940.50,843.05,448.53
1942,738.31,1335.72,532.81,209.91,1250.90,569.46,439.54,1272.61,1138.87,1239.15,1412.33,1329.22,2010.01,514.63,1036.60,1062.60,823.60,825.60,1279.36,1422.82,1046.73,1221.49,1200.82,870.56,710.35,1239.59,1160.62,436.33,643.87,225.28,1109.27,1265.75,350.98,1112.54,1310.74,482.11,1008.51,993.57,864.09,1219.73,1215.65,1216.21,589.03,1294.28,737.09,241.11,1054.96,1211.12,952.61,1250.59,901.79,376.84
1943,646.93,1225.37,583.32,281.67,884.30,558.48,373.34,948.12,914.71,828.99,1299.80,1155.62,1834.02,423.78,886.38,942.74,802.52,573.89,1007.15,1209.54,1099.14,893.73,943.83,787.10,692.57,1084.59,965.88,390.27,438.40,268.23,1069.19,973.52,289.69,1001.71,1091.74,472.23,902.11,689.12,678.14,951.91,866.62,1106.42,430.47,1050.73,533.91,297.03,1065.83,904.79,809.85,1045.42,760.37,321.75
